4324.22967226391  30115.34
4328.94191923042  30244.89
4333.65416619693  30163.03
4338.36641316345  30098.64
4343.07866012996  30149.88
4347.79090709647  30295.13
4352.50315406298  30492.88
4357.21540102949  30591.98
4361.92764799601  30601.19
4366.63989496252  30645.71
4371.35214192903  30708.61
4376.06438889554  30754.22
4380.77663586206  30844.4
4385.48888282857  30928.65
4390.20112979508  31043.08
4394.9133767616  31187.29
4399.62562372811  31181.62
4404.33787069462  31405.13
4409.05011766113  31364.86
4413.76236462765  31248.32
4418.47461159416  31160.85
4423.18685856067  31180.24
4427.89910552718  31592.79
4432.6113524937  31590.16
4437.32359946021  31786.75
4442.03584642672  31745.96
4446.74809339323  31609.86
4451.46034035975  31641.94
4456.17258732626  31824.61
4460.88483429277  32010.59
4465.59708125928  32033.85
4470.3093282258  31981.06
4475.02157519231  32013.69
4479.73382215882  32012.31
4484.44606912533  32039.79
4489.15831609184  32102.79
4493.87056305836  32229.18
4498.58281002487  32333.47
4503.29505699138  32311.73
4508.00730395789  32450.53
4512.71955092441  32583.52
4517.43179789092  32757.07
4522.14404485743  32652.61
4526.85629182395  32740.39
4531.56853879046  32937.72
4536.28078575697  33016.5
4540.99303272348  32946.
4545.70527969  32893.71
4550.41752665651  33068.93
4555.12977362302  33146.25
4559.84202058953  33062.98
4564.55426755605  33390.16
4569.26651452256  33397.23
4573.97876148907  33512.98
4578.69100845558  33511.76
4583.4032554221  33583.8
4588.11550238861  33533.82
4592.82774935512  33543.77
4597.53999632163  33595.61
4602.25224328815  33652.45
4606.96449025466  33860.74
4611.67673722117  33867.31
4616.38898418768  33879.72
4621.1012311542  34065.4
4625.81347812071  34190.29
4630.52572508722  34144.31
4635.23797205373  34232.06
4639.95021902024  34277.03
4644.66246598676  34496.11
4649.37471295327  34504.23
4654.08695991978  34565.29
4658.7992068863  34684.39
4663.51145385281  34636.35
4668.22370081932  34648.1
4672.93594778583  34768.12
4677.64819475235  34835.28
4682.36044171886  34901.94
4687.07268868537  35072.16
4691.78493565188  35225.96
4696.4971826184  35210.18
4701.20942958491  35067.96
4705.92167655142  35225.29
4710.63392351793  35234.98
4715.34617048445  35388.21
4720.05841745096  35604.74
4724.77066441747  35639.7
4729.48291138398  35561.02
4734.1951583505  35594.59
4738.90740531701  35603.94
4743.61965228352  35685.5
4748.33189925003  35941.39
4753.04414621655  36005.44
4757.75639318306  36045.01
4762.46864014957  36159.03
4767.18088711608  36230.82
4771.8931340826  36354.32
4776.60538104911  36510.25
4781.31762801562  36603.23
4786.02987498213  36551.91
4790.74212194865  36795.38
4795.45436891516  36703.87
4800.16661588167  36686.11
4804.87886284818  36884.69
4809.5911098147  37022.72
4814.30335678121  36913.75
4819.01560374772  37167.53
4823.72785071423  37353.77
4828.44009768075  37278.37
4833.15234464726  37344.14
4837.86459161377  37465.
4842.57683858028  37450.16
4847.2890855468  37735.82
4852.00133251331  37895.99
4856.71357947982  37853.85
4861.42582644633  38131.81
4866.13807341285  37999.53
4870.85032037936  38091.68
4875.56256734587  38145.4
4880.27481431238  38354.58
4884.9870612789  38492.61
4889.69930824541  38485.24
4894.41155521192  38621.6
4899.12380217843  38596.31
4903.83604914495  38706.51
4908.54829611146  39015.93
4913.26054307797  38876.93
4917.97279004448  38801.26
4922.685037011  38891.7
4927.39728397751  38813.06
4932.10953094402  39068.32
4936.82177791053  39393.39
4941.53402487705  39323.09
4946.24627184356  39230.03
4950.95851881007  39352.14
4955.67076577658  39544.78
4960.3830127431  39727.32
4965.09525970961  39955.45
4969.80750667612  40185.02
4974.51975364263  39992.41
4979.23200060915  39785.03
4983.94424757566  40120.61
4988.65649454217  40402.81
4993.36874150868  40403.81
4998.0809884752  40507.01
5002.79323544171  40588.73
5007.50548240822  40811.75
5012.21772937474  40822.63
5016.92997634125  40764.49
5021.64222330776  40978.85
5026.35447027427  40974.52
5031.06671724079  41077.88
5035.7789642073  41304.48
5040.49121117381  41510.21
5045.20345814032  41549.99
5049.91570510683  41610.81
5054.62795207335  41726.1
5059.34019903986  41977.66
5064.05244600637  42137.89
5068.76469297289  42045.62
5073.4769399394  41985.82
5078.18918690591  42047.44
5082.90143387242  42346.75
5087.61368083894  42612.57
5092.32592780545  42732.61
5097.03817477196  42731.77
5101.75042173847  42811.35
5106.46266870499  43051.09
5111.1749156715  43116.9
5115.88716263801  43195.9
5120.59940960452  43264.09
5125.31165657104  43394.33
5130.02390353755  43392.35
5134.73615050406  43616.97
5139.44839747057  43886.54
5144.16064443708  44071.67
5148.8728914036  44229.78
5153.58513837011  43998.07
5158.29738533662  44153.59
5163.00963230314  44587.15
5167.72187926965  44608.93
5172.43412623616  44649.11
5177.14637320267  44970.59
5181.85862016918  45186.5
5186.5708671357  45335.84
5191.28311410221  45408.36
5195.99536106872  45654.29
5200.70760803524  45665.43
5205.41985500175  45936.44
5210.13210196826  45999.52
5214.84434893477  46171.86
5219.55659590129  46303.33
5224.2688428678  46373.87
5228.98108983431  46407.2
5233.69333680082  46375.94
5238.40558376734  46529.2
5243.11783073385  46822.
5247.83007770036  47109.21
5252.54232466687  47155.76
5257.25457163339  47259.89
5261.9668185999  46884.17
5266.67906556641  46606.17
5271.39131253292  46823.71
5276.10355949944  47037.55
5280.81580646595  47641.82
5285.52805343246  48157.19
5290.24030039897  48024.3
5294.95254736549  48372.24
5299.664794332  48642.61
5304.37704129851  48643.37
5309.08928826502  48607.01
5313.80153523154  48846.8
5318.51378219805  49150.42
5323.22602916456  49410.35
5327.93827613108  49374.86
5332.65052309759  49370.38
5337.3627700641  49844.63
5342.07501703061  50165.82
5346.78726399712  50026.97
5351.49951096364  50039.24
5356.21175793015  50349.34
5360.92400489666  50417.53
5365.63625186317  50620.57
5370.34849882969  50635.8
5375.0607457962  50771.84
5379.77299276271  51022.16
5384.48523972922  51071.46
5389.19748669574  51337.68
5393.90973366225  51220.48
5398.62198062876  51123.22
5403.33422759527  51493.88
5408.04647456179  51817.91
5412.7587215283  52382.57
5417.47096849481  52442.54
5422.18321546132  52442.48
5426.89546242784  52724.68
5431.60770939435  52714.6
5436.31995636086  52706.82
5441.03220332737  53032.27
5445.74445029389  53267.67
5450.4566972604  53338.95
5455.16894422691  53460.3
5459.88119119343  53604.95
5464.59343815994  53636.57
5469.30568512645  53609.61
5474.01793209296  53634.62
5478.73017905947  53890.47
5483.44242602599  54152.03
5488.1546729925  54131.8
5492.86691995901  54148.43
5497.57916692552  54511.5
5502.29141389204  54452.76
5507.00366085855  54502.59
5511.71590782506  54704.6
5516.42815479158  54991.61
5521.14040175809  54782.42
5525.8526487246  55037.53
5530.56489569111  55471.82
5535.27714265762  55616.45
5539.98938962414  55491.95
5544.70163659065  55232.12
5549.41388355716  55481.66
5554.12613052367  55657.68
5558.83837749019  56184.88
5563.5506244567  56557.2
5568.26287142321  56729.33
5572.97511838973  57034.55
5577.68736535624  57040.8
5582.39961232275  57223.8
5587.11185928926  57574.8
5591.82410625577  57798.28
5596.53635322229  57872.74
5601.2486001888  57765.46
5605.96084715531  57896.1
5610.67309412182  58285.31
5615.38534108834  58079.2
5620.09758805485  58347.22
5624.80983502136  58446.89
5629.52208198788  58474.04
5634.23432895439  58638.46
5638.9465759209  58595.54
5643.65882288741  58790.95
5648.37106985392  59111.61
5653.08331682044  59383.91
5657.79556378695  59623.07
5662.50781075346  59608.52
5667.22005771998  59379.75
5671.93230468649  59579.29
5676.644551653  59942.41
5681.35679861951  60208.38
5686.06904558602  60283.67
5690.78129255254  60236.86
5695.49353951905  60649.85
5700.20578648556  60493.98
5704.91803345208  60459.82
5709.63028041859  60856.93
5714.3425273851  61422.86
5719.05477435161  61736.3
5723.76702131812  61663.92
5728.47926828464  61801.13
